,gameid,weekid,homeid,awayid,homeptsactual,awayptsactual
0,1,1,4,12,139.04,140.96
1,2,1,3,8,103.98,95.06
2,3,1,10,7,107.66,141.7
3,4,1,5,6,107.3,139.48
4,5,1,14,2,88.04,126.3
5,6,1,9,13,89.32,112.1
6,7,1,1,11,122.94,87.84
7,8,2,8,12,90.72,102.78
8,9,2,1,4,89.42,117.96
9,10,2,3,7,141.74,99.94
10,11,2,10,6,72.44,112.2
11,12,2,5,2,122.74,119.22
12,13,2,14,13,121.78,145.02
13,14,2,9,11,89.66,156.74
14,15,3,7,12,102.14,86.78
15,16,3,8,4,143.3,126.72
16,17,3,3,6,110.44,103.26
17,18,3,10,2,76.34,123.9
18,19,3,5,13,141.4,95.64
19,20,3,14,11,126.52,74.0
20,21,3,1,9,98.98,120.06
21,22,4,6,12,104.56,91.7
22,23,4,7,4,116.16,106.24
23,24,4,1,8,111.4,131.14
24,25,4,3,2,121.76,121.82
25,26,4,10,13,127.52,100.62
26,27,4,5,11,132.54,100.8
27,28,4,14,9,97.74,134.08
28,29,5,2,12,146.0,101.78
29,30,5,6,4,108.04,181.06
30,31,5,7,8,125.18,145.32
31,32,5,3,13,99.54,128.78
32,33,5,10,11,85.5,70.06
33,34,5,5,9,135.38,136.9
34,35,5,1,14,137.36,113.16
35,36,6,13,12,0.0,0.0
36,37,6,2,4,0.0,0.0
37,38,6,6,8,0.0,0.0
38,39,6,1,7,0.0,0.0
39,40,6,3,11,0.0,0.0
40,41,6,10,9,0.0,0.0
41,42,6,5,14,0.0,0.0
